Date,Meeting,Agenda Link,Minutes Link
1996-12-05,Special Board Meeting,http://boardarchives.metro.net/Agendas/1996/agenda_A_0616.pdf,
1996-12-18,Regular Board Meeting,"http://boardarchives.metro.net/Agendas/1996/agenda_A_0622.pdf
http://boardarchives.metro.net/Agendas/1996/agenda_A_0625.pdf",http://boardarchives.metro.net/Minutes/1997/Minutes_D_0010.pdf
1997-01-10,Special Board Meeting,http://boardarchives.metro.net/Agendas/1997/Agenda_D_0037.pdf,http://boardarchives.metro.net/Minutes/1997/Minutes_D_0009.pdf
1997-01-22,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1997/Agenda_D_0074.pdf,http://boardarchives.metro.net/Minutes/1997/Minutes_D_0013.pdf
1997-02-19,Special Board Meeting,http://boardarchives.metro.net/Agendas/1997/Agenda_D_0036.pdf,http://boardarchives.metro.net/Minutes/1997/Minutes_D_0015.pdf
1997-02-26,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1997/Agenda_D_0041.pdf,http://boardarchives.metro.net/Minutes/1997/Minutes_D_0011.pdf
1997-03-26,Special Board Meeting,http://boardarchives.metro.net/Agendas/1997/Agenda_D_0027.pdf,http://boardarchives.metro.net/Minutes/1997/Minutes_D_0016.pdf
1997-03-26,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1997/Agenda_D_0028.pdf,http://boardarchives.metro.net/Minutes/1997/Minutes_D_0017.pdf
1997-04-16,Special Board Meeting,http://boardarchives.metro.net/Agendas/1997/Agenda_D_0072.pdf,http://boardarchives.metro.net/Minutes/1997/Minutes_D_0008.pdf
1997-04-23,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1997/Agenda_D_0070.pdf,http://boardarchives.metro.net/Minutes/1997/Minutes_D_0007.pdf
1997-05-23,Special Board Meeting,http://boardarchives.metro.net/Agendas/1997/Agenda_D_0025.pdf,http://boardarchives.metro.net/Minutes/1997/Minutes_D_0005.pdf
1997-05-28,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1997/Agenda_D_0022.pdf,http://boardarchives.metro.net/Minutes/1997/Minutes_D_0002.pdf
1997-06-04,Special Board Meeting,http://boardarchives.metro.net/Agendas/1997/Agenda_D_0023.pdf,http://boardarchives.metro.net/Minutes/1997/Minutes_D_0001.pdf
1997-06-12,Special Board Meeting,http://boardarchives.metro.net/Agendas/1997/Agenda_D_0062.pdf,http://boardarchives.metro.net/Minutes/1997/Minutes_D_0003.pdf
1997-06-18,Special Board Meeting,http://boardarchives.metro.net/Agendas/1997/Agenda_D_0063.pdf,
1997-06-25,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1997/Agenda_D_0015.pdf,http://boardarchives.metro.net/Minutes/1997/Minutes_D_0021.pdf
1997-06-30,Special Board Meeting,http://boardarchives.metro.net/Agendas/1997/Agenda_D_0077.pdf,http://boardarchives.metro.net/Minutes/1997/Minutes_D_0018.pdf
1997-07-07,Special Board Meeting,http://boardarchives.metro.net/Agendas/1997/Agenda_D_0076.pdf,http://boardarchives.metro.net/Minutes/1997/Minutes_D_0019.pdf
1997-07-14,Special Board Meeting,http://boardarchives.metro.net/Agendas/1997/Agenda_D_0020.pdf,http://boardarchives.metro.net/Minutes/1997/Minutes_D_0020.pdf
1997-07-31,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1997/Agenda_D_0083.pdf,http://boardarchives.metro.net/Minutes/1997/Minutes_D_0022.pdf
1997-08-12,Special Board Meeting,http://boardarchives.metro.net/Agendas/1997/Agenda_D_0090.pdf,http://boardarchives.metro.net/Minutes/1997/Minutes_D_0023.pdf
1997-08-22,Special Board Meeting,http://boardarchives.metro.net/Agendas/1997/Agenda_D_0088.pdf,http://boardarchives.metro.net/Minutes/1997/Minutes_D_0024.pdf
1997-08-28,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1997/Agenda_D_0091.pdf,http://boardarchives.metro.net/Minutes/1997/08281997min.pdf
1997-09-25,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1997/Agenda_D_0092.pdf,http://boardarchives.metro.net/Minutes/1997/Minutes_D_0025.pdf
1997-09-25,Regular Board Meeting,,http://boardarchives.metro.net/Minutes/1997/Minutes_RBM_Rev_19970925.pdf
1997-10-23,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1997/Agenda_D_0099.pdf,http://boardarchives.metro.net/Minutes/1997/Minutes_D_0026.pdf
1997-11-13,Special Board Meeting,http://boardarchives.metro.net/Agendas/1997/Agenda_D_0107.pdf,http://boardarchives.metro.net/Minutes/1997/Minutes_D_0027.pdf
1997-11-20,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1997/Agenda_D_0106.pdf,http://boardarchives.metro.net/Minutes/1998/11001990.pdf
1997-12-11,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1997/Agenda_D_0115.pdf,http://boardarchives.metro.net/Minutes/1998/11001602.pdf
1997-12-18,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1997/Agenda_D_0116.pdf,http://boardarchives.metro.net/Minutes/1998/11002009.pdf
1998-01-14,Special Board Meeting,,http://boardarchives.metro.net/Minutes/1998/Minutes_SBM_19980114.pdf
1998-01-29,Regular Board Meeting,"http://boardarchives.metro.net/Agendas/1998/Agenda_C_0098.pdf
http://boardarchives.metro.net/Agendas/1998/Agenda_C_0099.pdf",http://boardarchives.metro.net/Minutes/1998/Minutes_RBM_19980129.pdf
1998-02-26,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1998/Agenda_C_0020.pdf,http://boardarchives.metro.net/Minutes/1998/11001576.pdf
1998-03-19,Special Board Meeting,http://boardarchives.metro.net/Agendas/1998/Agenda_C_0019.pdf,http://boardarchives.metro.net/Minutes/1998/11001991.pdf
1998-03-26,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1998/Agenda_C_0021.pdf,http://boardarchives.metro.net/Minutes/1998/Minutes_RBM_19980326.pdf
1998-04-08,Special Board Meeting,http://boardarchives.metro.net/Agendas/1998/Agenda_C_0066.pdf,http://boardarchives.metro.net/Minutes/1998/11005386.pdf
1998-04-23,Regular Board Meeting,"http://boardarchives.metro.net/Agendas/1998/Agenda_C_0063.pdf
http://boardarchives.metro.net/Agendas/1998/Agenda_C_0064.pdf",http://boardarchives.metro.net/Minutes/1998/11005420.pdf
1998-05-13,Special Board Meeting,"http://boardarchives.metro.net/Agendas/1998/Agenda_C_0079.pdf
http://boardarchives.metro.net/Agendas/1998/Agenda_C_0080.pdf",http://boardarchives.metro.net/Minutes/1998/11005407.pdf
